CustomerID,Education,Marital_Status,Income,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,Total_Spending,Response
1,Bachelor,Divorced,146817,483,402,579,445,189,276,10,9,10,10,4409,No
2,PhD,Married,90599,510,355,819,98,143,235,11,6,11,4,2404,Yes
3,Master,Single,125789,495,248,499,329,38,256,0,12,13,11,4479,Yes
4,Bachelor,Married,49262,793,137,692,476,121,191,8,0,1,5,2864,Yes
5,Basic,Married,122072,806,188,216,201,42,97,7,12,4,13,4771,No
6,Basic,Married,90416,655,327,632,105,94,164,1,10,3,12,4331,Yes
7,Basic,Single,97637,639,51,635,400,121,245,1,1,5,11,3102,Yes
8,Master,Married,61749,498,438,311,130,190,260,0,11,6,13,3622,Yes
9,Bachelor,Single,83766,983,443,736,128,41,196,3,5,12,6,2680,Yes
10,Master,Single,47365,92,33,581,485,194,60,12,0,1,1,3710,Yes
11,Basic,Widowed,32333,39,197,397,356,145,93,11,4,0,12,2913,Yes
12,PhD,Married,109648,620,475,413,412,180,263,11,2,11,14,828,Yes
13,Master,Married,52965,90,287,155,477,3,88,13,1,8,12,3013,Yes
14,Bachelor,Married,74163,582,447,458,318,185,9,1,1,13,1,3866,Yes
15,Basic,Single,145408,381,213,90,337,82,92,3,12,4,7,2702,No
16,Basic,Married,25529,8,430,63,32,147,2,4,4,5,12,1920,Yes
17,Bachelor,Single,126095,870,159,641,455,195,97,0,11,3,2,2205,Yes
18,Bachelor,Married,119774,44,209,677,358,90,233,12,7,11,0,4519,No
19,Bachelor,Married,106245,758,53,477,95,98,223,14,2,8,3,2515,Yes
20,Bachelor,Single,44701,505,7,699,325,138,110,9,7,7,9,1852,Yes
21,Bachelor,Single,44338,3,339,177,119,87,235,5,5,0,1,3985,Yes
22,Basic,Married,64803,701,205,721,294,45,118,0,0,11,5,848,Yes
23,Bachelor,Married,55911,868,276,516,359,32,243,3,6,7,5,4493,Yes
24,Bachelor,Married,119127,609,447,931,275,89,108,4,11,6,3,1553,Yes
25,Bachelor,Single,37115,326,199,918,38,26,132,1,8,1,3,3716,No
26,Master,Married,101186,451,242,744,468,146,30,1,9,11,8,3641,Yes
27,Basic,Single,109947,712,76,970,470,188,242,7,3,7,10,1978,No
28,Bachelor,Married,72138,897,281,536,331,155,101,12,1,3,13,1379,Yes
29,Bachelor,Single,121331,311,456,398,2,183,68,10,5,2,7,3070,No
30,Basic,Single,144274,381,355,928,458,0,247,6,13,12,14,772,No
31,Bachelor,Married,54295,310,85,13,391,35,171,12,4,14,6,1846,No
32,Basic,Single,134994,922,209,735,201,132,181,12,12,7,14,4163,Yes
33,Basic,Divorced,61113,381,414,931,219,111,200,6,13,8,7,4593,No
34,PhD,Married,77135,735,477,787,335,48,43,1,0,9,2,2543,Yes
35,PhD,Divorced,76479,531,298,417,267,32,38,4,0,1,8,878,Yes
36,Master,Single,114578,312,242,477,295,102,175,5,5,0,7,3851,No
37,Bachelor,Single,49533,246,266,317,146,98,151,11,3,12,6,3562,Yes
38,Basic,Married,122549,212,334,44,421,14,271,4,2,9,13,3895,Yes
39,Bachelor,Single,41042,656,187,309,292,49,236,11,11,7,8,2065,Yes
40,Bachelor,Married,48788,681,242,32,170,191,125,8,11,1,13,3612,Yes
41,Basic,Married,35775,426,148,352,187,74,227,12,4,10,8,596,Yes
42,Bachelor,Married,63731,434,158,545,429,177,103,5,10,13,9,4722,Yes
43,Basic,Single,144429,511,464,426,460,152,262,8,11,9,11,4885,Yes
44,PhD,Married,147435,140,3,889,236,193,130,8,2,5,3,4994,Yes
45,Bachelor,Married,36384,535,64,195,193,41,279,8,0,11,13,2640,Yes
46,Bachelor,Married,135562,197,268,7,333,180,253,3,9,14,3,3068,Yes
47,Bachelor,Single,90826,857,310,755,270,174,121,0,4,4,8,2758,Yes
48,Bachelor,Married,93750,635,270,583,24,42,91,0,2,1,4,1804,Yes
49,Bachelor,Married,68923,799,296,102,59,51,179,0,14,8,3,710,Yes
50,Basic,Married,147125,566,227,383,165,174,96,0,12,14,7,948,Yes
51,PhD,Single,113360,193,188,882,343,146,113,8,1,14,2,4891,Yes
52,Master,Married,107945,132,175,868,292,73,215,1,8,8,0,1980,Yes
53,PhD,Single,149146,772,108,357,282,32,85,13,2,2,13,4762,Yes
54,Master,Divorced,70620,717,165,297,28,120,102,3,13,12,12,2140,No
55,Bachelor,Married,137411,517,194,4,143,34,116,11,0,11,3,3915,Yes
56,PhD,Married,98680,83,76,45,229,153,23,2,11,9,5,3626,Yes
57,Basic,Married,22335,801,282,902,446,131,268,6,9,7,11,2641,Yes
58,Basic,Single,63926,400,187,390,133,105,217,0,2,3,10,1275,No
59,Basic,Married,119026,130,499,929,10,40,278,10,11,6,10,1895,Yes
60,Bachelor,Single,57110,182,388,375,491,125,26,1,10,0,4,1520,Yes
61,Bachelor,Single,122829,544,18,513,478,87,144,1,3,12,8,3847,Yes
62,Bachelor,Single,43696,840,191,129,183,181,144,1,4,13,3,4453,Yes
63,Master,Married,64724,837,230,411,461,15,54,10,11,3,13,2576,Yes
64,Bachelor,Single,45968,136,404,644,455,5,248,2,9,5,13,2223,No
65,Bachelor,Divorced,69971,977,105,987,157,183,49,14,4,11,14,1824,Yes
66,Bachelor,Single,138193,871,163,935,296,184,231,12,14,14,11,2195,Yes
67,Basic,Widowed,90441,903,50,56,147,119,293,14,1,4,14,518,No
68,Master,Widowed,88721,336,91,932,250,105,91,1,0,13,4,3765,No
69,Basic,Single,148693,630,16,344,236,173,180,5,7,11,3,2896,Yes
70,PhD,Widowed,80477,792,278,424,45,103,79,14,13,11,7,640,Yes
71,Master,Divorced,93751,344,118,153,297,174,132,5,4,7,10,1019,Yes
72,Basic,Single,115288,628,446,168,380,11,281,8,13,7,4,3298,Yes
73,Basic,Divorced,69541,904,206,762,418,171,242,2,12,12,9,3433,Yes
74,Master,Single,23154,314,447,76,194,165,149,3,12,12,9,1509,No
75,Master,Single,71826,328,337,903,253,91,144,4,10,12,7,4758,Yes
76,Master,Married,117874,707,303,523,419,167,276,3,10,13,4,4322,Yes
77,Master,Single,76812,462,244,117,254,188,150,5,8,4,3,3671,Yes
78,Basic,Single,22674,969,216,22,253,24,166,8,4,7,0,2539,Yes
79,Bachelor,Widowed,97899,14,38,323,33,130,37,2,4,6,12,4704,Yes
